id;marque;description;prix;note;avis;nombre_acheteurs;stock_disponible;screen_size;os;ram;processor;storage
138;ACER;ACER Aspire 3 A317-55P-36YL Ordinateur Portable 17,3'' Full HD, PC Portable (Intel Core i3-N305, RAM 8 Go, SSD 512 Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Gris;449;4;1;967;399;;Windows 10;8.0;Intel Core i3;512 Go SSD
139;;"NIAKUN Ordinateur Portable, 16"" Pc Portable RAM 16GB+SSD 1TB, N100 Processor Laptop, Up to 3.4 GHz Full HD 1920x1200P, Notebook à Clavier rétroéclairé, 6000 mAh";439;4;170;723;304;;;16.0;;1024 Go SSD
140;HP;HP 250 G10 Ordinateur Portable, Intel i7 13ème 10 Coeurs 5Ghz, RAM 24 Go DDR4, SSD PCIe 1To, écran 15,6 Full HD, WiFi6, USB, Empreinte Digitale, Clavier rétroéclairé, Win11, déjà configuré, AZERTY;999;4;51;613;323;;;24.0;Intel i7;
141;;Ekonavi Ordinateur Portable 15,6 Pouces, 16 Go de RAM 512 Go de SSD, PC Portable Celeron N5095 1920 x 1080 FHD Touch ID, Laptop WiFi Double Bande Win11 Pro, avec Clavier rétroéclairé Pleine Taille;269;5;3;797;204;15.6;;16.0;Celeron N5095;512 Go SSD
142;;NIAKUN Ordinateur Portable, 16 inch N95 Processor Pc Portable RAM 16GB+SSD 512GB Laptop, Jusqu'à 3,4 GHz Full HD 1920x1200P, Notebook à Clavier rétroéclairé, 6000 mAh;389;4;263;646;49;;;16.0;;512 Go SSD
143;;"Ordinateur Portable 15,6"", PC Portable 16Go RAM 512Go SSD, Celeron N5095, Windows 11 PC Portable aver Clavier Rétro-éclairé, Déverrouillage Empreinte, Laptop 1920*1080 IPS Écran, BT4.2/SB 3.0";269;4;72;739;137;;Windows 11;16.0;Celeron N5095;512 Go SSD
144;Dell;"Dell Latitude 7490 Ordinateur Portable, 14"" FHD (1920 x 1080), Intel Core i5-8350U, 16 Go RAM, 512 Go SSD, Clavier américain, Windows 10 Pro (Reconditionné)";279;5;1;255;37;;Windows 10;16.0;Intel Core i5-8350U;512 Go SSD
145;Lenovo;Lenovo Yoga Pro 7 14IRH8 - Ordinateur Portable 14'' 2.5K 90Hz (Intel Core i5-13500H, RAM 16Go, SSD 512Go, Intel Iris XE Graphics, Windows 11 Home) Clavier AZERTY Français - Gris Foncé;829;4;13;360;274;;Windows 11;16.0;Intel Core i5-13500H;512 Go SSD
146;ASUS;ASUS Ordinateur Portable Intel i7 13ème 10 Coeurs 5Ghz, RAM 24 Go DDR5, SSD PCIe 1To, écran IPS 15,6 Full HD, WiFi6E, 4USB, Empreinte Digitale, Clavier rétroéclairé, Win11 Pro, déjà configuré, AZERTY;999;4;7;938;260;;;24.0;Intel i7;
147;;Auusda Ordinateur Portable 15.6 Pouces, Lecteur d'empreintes digitales, PC Portable Gamer, 16 Go DDR4 SSD 512 Go, Celeron N150 (jusqu'à 3,60 GHz),Clavier rétroéclairé, HDMI,Pc Portable Pas Cher;410;4;8;708;476;15.6;;16.0;Celeron N150;512 Go SSD
148;;NIAKUN 15,6 Pouces Laptop Ordinateur Portable pour étudiants, Notebook 16GB RAM 512GB SSD N5095 Processeur (jusqu'à 2,9 GHz) Pc Portable, Clavier Rétroéclairé, 1920 x 1080 P, 6000mAh, TF Card;359;4;45;625;97;15.6;;;N5095;512 Go SSD
149;HP;HP 255 G10 Ordinateur Portable, AMD Ryzen 3 7330 4 Coeurs 4.3 Gghz, RAM 24 Go, SSD PCIe 512Go, écran 15,6 Full HD, WiFi6, USB, Empreinte Digitale, Clavier rétroéclairé, Win11, déjà configuré, AZERTY;599;4;99;903;60;;;24.0;AMD Ryzen 3 7330;
150;Lenovo;Lenovo Yoga 7 2-en-1 14AHP9 - Ordinateur Portable AI 14'' WUXGA OLED (AMD Ryzen 5 8640HS, RAM 16Go, SSD 512Go, AMD Radeon 760M Graphics, Windows 11 Home) Clavier rétroéclairé AZERTY Français - Gris;799;3;14;1138;10;;Windows 11;16.0;AMD Ryzen 5 8640HS;512 Go SSD
151;Dell;Ordinateur Portable 14 Pouces, PC Portable 14 Pouces, Dell Latitude E7470, Intel i5, RAM 16 Go, SSD 256 Go, Laptop Windows 10 Pro, Clavier AZERTY Français, Webcam, Garantie 2 Ans (Reconditionné);282;3;269;1481;371;14.0;Windows 10;16.0;Intel i5;256 Go SSD
